Name,Class,Class_label,Mean_kNN_Tc,Max_Tc_to_train,Within_AD
199_Compound_XLVI,0,Non-sweet,0.6987,0.7857,True
411_Denatonium_chloride_derivative_8,0,Non-sweet,0.6993,0.7674,True
503_Asp_69,1,Sweet,0.7005,0.7838,True
539_Asp_105,1,Sweet,0.7029,0.8205,True
516_Asp_82,1,Sweet,0.7033,0.7895,True
540_Asp_106,1,Sweet,0.7054,0.7838,True
494_Asp_60,1,Sweet,0.7055,0.8,True
452_6_1__6__3Cl_sucrose,1,Sweet,0.7068,0.7895,True
192_Compound_XXXIX,0,Non-sweet,0.7076,0.7667,True
307_N__L_aspartyl__1_1_diaminoalkane_6,1,Sweet,0.7095,0.9706,True
531_Asp_97,1,Sweet,0.7119,0.775,True
560_Asp_138,1,Sweet,0.7121,0.973,True
447_4_Cl_sucrose,1,Sweet,0.7135,0.7805,True
633_Potassium_glycyrrhizinate,1,Sweet,0.7146,0.8256,True
522_Asp_88,1,Sweet,0.7156,0.8571,True
583_Asp_172,1,Sweet,0.7168,0.7568,True
508_Asp_74,1,Sweet,0.7198,0.7368,True
245_Compound_XCV,1,Sweet,0.7244,0.7619,True
33_Lactosucrose,1,Sweet,0.7275,0.8205,True
512_Asp_78,1,Sweet,0.7313,0.7568,True
617_Disodium_glycyrrhizinate,1,Sweet,0.7326,0.9733,True
213_Compound_LX,0,Non-sweet,0.7407,0.7931,True
214_Compound_LXI,0,Non-sweet,0.7407,0.7931,True
592_Asp_188,1,Sweet,0.7421,0.8333,True
579_Asp_168,1,Sweet,0.7439,0.8108,True
524_Asp_90,1,Sweet,0.7518,0.7838,True
194_Compound_XLI,1,Sweet,0.7709,0.8286,True
444_4_1__2Cl_sucrose,1,Sweet,0.7749,0.8049,True
209_Compound_LVI,0,Non-sweet,0.7767,0.8214,True
274_4_6_di_O_Methyl_sucrose,1,Sweet,0.778,0.907,True
477_Asp_10,1,Sweet,0.7832,0.9688,True
289_1__6__Dichloro_sucrose,1,Sweet,0.7852,0.8919,True
217_Compound_LXIV,0,Non-sweet,0.7925,0.8846,True
269_Stachyose,1,Sweet,0.7944,1.0,True
440_4_1__4__3Cl_sucrose,1,Sweet,0.8011,0.8974,True
434_1__4__6__3Cl_sucrose,1,Sweet,0.806,0.8974,True
299_L_Aspartyl_aminomalonic_acid_diester_1,1,Sweet,0.8073,0.9737,True
2_Sucralose___4_1__6__Trichloro_galactosucrose,1,Sweet,0.8087,0.8718,True
529_Asp_95,1,Sweet,0.8184,0.9744,True
64_Bibenzyl_derivative__8_,1,Sweet,0.819,0.871,True
410_Denatonium_chloride_derivative_7,0,Non-sweet,0.8247,1.0,True
407_Denatonium_chloride_derivative_4,0,Non-sweet,0.8247,1.0,True
22_Rebaudioside_C,1,Sweet,0.8896,0.9324,True
